Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1
Kittredge School,Private,0,8,K-8,Independent / Private,IND258,5,13,IND,38684786981336,"2355 LAKE ST, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.785507, -122.484955)"
Kellys Family Day Care,Private,-2,-1,PK,Independent / Private,CDC066,3,4,CDC,,"309 30TH ST, SAN FRANCISCO, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.741787, -122.427292)"
Serra Preschool,Private,-2,-1,PK,Independent / Private,CDC135,3,4,CDC,384001376,"7 FUNSTON AVE, SAN FRANCISCO, CA 94129",2,06075,SAN FRANCISCO,"CA
(37.799297, -122.456116)"
"Key, Francis Scott Key Elementary/Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS054,5,10,PS,38684786041008,"1530 43RD AVE, San Francisco, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.758099, -122.501999)"
San Francisco Community Alternative School,SFUSD,0,8,K-8,USD Grades K-8,PS099,5,13,PS,38684786093488,"125 EXCELSIOR AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.726105, -122.432136)"
Ulloa Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS117,5,10,PS,38684786041685,"2650 42ND AVE, San Francisco, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.737316, -122.499397)"
San Francisco Montessori Academy,Private,-2,-1,PK,Independent / Private,CDC133,3,4,CDC,,"1566 32ND AVE, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.757992, -122.490379)"
Town School For Boys,Private,0,8,K-8,Independent / Private,IND332,5,13,IND,38684786980833,"2750 JACKSON ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.792034, -122.440132)"
City College of San Francisco Downtown Center,SFCCD,13,14,13-14,Community College District,CC03,18,19,CC,,"88 4TH ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.784565, -122.404724)"
Little Tree Preschool,Private,-2,-1,PK,Independent / Private,CDC082,3,4,CDC,,"3161 MISSION ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.746403, -122.419037)"
Marin Day School - Fremont St,Private,-2,-1,PK,Independent / Private,CDC088,3,4,CDC,384001296,"199 FREMONT ST, SAN FRANCISCO, CA 94105",6,06075,SAN FRANCISCO,"CA
(37.789883, -122.39489)"
Grace Lutheran Church - Grace Infant Care Center,Private,-4,-2,INF,Independent / Private,CDC049,1,3,CDC,380504016,"3201 ULLOA ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.740261, -122.490852)"
Childrens Day School,Private,-2,8,PK-8,Independent / Private,IND226,3,13,IND,38684787096514,"333 DOLORES ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.764256, -122.425201)"
Lick-Wilmerding High School,Private,9,12,9-12,Independent / Private,IND263,14,17,IND,38684786939649,"755 OCEAN AVE, SAN FRANCISCO, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.722321, -122.448982)"
Epiphany Elementary School,Private,0,8,K-8,Independent / Private,IND240,5,13,IND,38684786980734,"600 ITALY AVE, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.715725, -122.434532)"
Lisa Kampner Hebrew Academy,Private,0,12,K-12,Independent / Private,IND264,5,17,IND,38684786981245,"645 14TH AVE, SAN FRANCISCO, CA 94118",8,06075,SAN FRANCISCO,"CA
(37.767643, -122.42762)"
Montessori School Of The Bay Area,Private,-2,-1,PK,Independent / Private,CDC109,3,4,CDC,380505730,"1530 EDDY ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.78159, -122.433311)"
Compass Childrens Center,Private,-2,-1,PK,Independent / Private,CDC015,3,4,CDC,384000988,"144 LEAVENWORTH ST, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.782429, -122.413719)"
Cross Cultural Family Center - Turk Street Center,Private,-2,4,PK-4,Independent / Private,IND234,3,9,IND,380506340,"201 TURK ST, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.782799, -122.412865)"
"Carver, Dr. George Washington Carver Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS014,5,10,PS,38684786093496,"1360 OAKDALE AVE, San Francisco, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.731667, -122.385338)"
Saint Luke School (Sls Preschool),Private,-2,-1,PK,Independent / Private,CDC131,3,4,CDC,384002543,"1335 SUTTER ST, SAN FRANCISCO, CA 94109",2,06075,SAN FRANCISCO,"CA
(37.787209, -122.42234)"
Buen Dia Family School,Private,-2,-1,PK,Independent / Private,CDC007,3,4,CDC,380504038,"589 GUERRERO ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.761932, -122.423454)"
"Preschool, The",Private,-2,-1,PK,Independent / Private,CDC124,3,4,CDC,380505138,"102 SAN JOSE AVE, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.753262, -122.421791)"
Garfield Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS036,5,10,PS,38684786041040,"420 FILBERT ST, San Francisco, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.802036, -122.406692)"
City College of San Francisco Evans Center,SFCCD,13,14,13-14,Community College District,CC04,18,19,CC,,"1400 EVANS AVE, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.741859, -122.384682)"
Presidio Early Education School,SFUSD,-2,4,PK-4,USD PreK-4,PS091,3,9,PS,38684780117499,"387 MORAGA AVE, San Francisco, CA 94129",2,06075,SAN FRANCISCO,"CA
(37.79752, -122.461105)"
Saint John Of San Francisco Orthodox Academy,Private,0,12,K-12,Independent / Private,IND299,5,17,IND,38684787096191,"6210 GEARY BLVD, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.780327, -122.486336)"
Live Oak School,Private,0,8,K-8,Independent / Private,IND267,5,13,IND,38684786981377,"1555 MARIPOSA ST, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.763557, -122.399467)"
Saint James Catholic School,Private,0,8,K-8,Independent / Private,IND297,5,13,IND,38684786981773,"325 FAIR OAKS ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.751137, -122.423592)"
Discovery Center School,Private,0,12,K-12,Independent / Private,IND236,5,17,IND,,"1442 FULTON ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.776836, -122.440605)"
Fei Tian Academy Of The Arts California,Private,0,12,K-12,Independent / Private,IND242,5,17,IND,38684786139463,"1950 PAGE ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.770477, -122.453003)"
San Francisco Adventist,Private,0,8,K-8,Independent / Private,IND311,5,13,IND,38684786980718,"66 GENEVA AVE, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.721714, -122.451187)"
One Fifty Parker Ave School,Private,-2,-1,PK,Independent / Private,CDC116,3,4,CDC,380500487,"150 PARKER AVENUE, SAN FRANCISCO, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.782818, -122.454094)"
Economic Opportunity Council Sf - Omi Childcare,Private,-2,-1,PK,Independent / Private,CDC030,3,4,CDC,380504445,"306 RANDOLPH ST, SAN FRANCISCO, CA 94132",11,06075,SAN FRANCISCO,"CA
(37.714497, -122.465576)"
Calvary Presbyterian Church - Calvary Nursery School,Private,-2,-1,PK,Independent / Private,CDC010,3,4,CDC,380500099,"2515 FILLMORE ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.792713, -122.435089)"
Alt School - Dogpatch 1,Private,-1,2,TK-2,Independent / Private,IND202,4,7,IND,38684786148290,"2265 03RD ST, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.761177, -122.38813)"
Alvarado Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS002,5,10,PS,38684786040703,"625 DOUGLASS ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.753681, -122.438194)"
"Mclaren, John Mclaren Early Education School",SFUSD,-2,5,PK-5,USD PreK/TK-5,PS076,3,10,PS,38684780117531,"2055 SUNNYDALE AVE, San Francisco, CA 94134",10,06075,SAN FRANCISCO,"CA
(37.713131, -122.423187)"
Cathedral School For Boys,Private,0,8,K-8,Independent / Private,IND224,5,13,IND,38684786965586,"1275 SACRAMENTO ST, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.79229, -122.413414)"
Bright Horizons - Pacific Gas And Electric,Private,-2,4,1-4,Independent / Private,IND220,3,5,IND,384001513,"77 BEALE ST, SAN FRANCISCO, CA 94105",6,06075,SAN FRANCISCO,"CA
(37.791672, -122.395721)"
Sterne School,Private,5,12,5-12,Independent / Private,IND327,10,17,IND,,"2690 JACKSON ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.792057, -122.439354)"
Congregation Emanu-El Preschool,Private,-2,-1,PK,Independent / Private,CDC018,3,4,CDC,384000060,"2 LAKE ST, SAN FRANCISCO, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.787338, -122.459793)"
City Arts And Tech High School,SFUSD,9,12,9-12,USD Grades 9-12,PS019,14,17,PS,38684780107300,"325 LA GRANDE AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.718784, -122.424667)"
Saint Thomas More,Private,0,8,K-8,Independent / Private,IND307,5,13,IND,38684786980650,"50 THOMAS MORE WAY, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.712299, -122.473389)"
Independence High School,SFUSD,9,12,9-12,USD Grades 9-12,PS049,14,17,PS,38684783830197,"1350 07TH AVE, San Francisco, CA 94122",5,06075,SAN FRANCISCO,"CA
(37.763226, -122.463585)"
Cross Cultural Family Center - Richmond I And Ii,Private,-2,-1,PK,Independent / Private,CDC025,3,4,CDC,380505039,"750 31ST AVE, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.775101, -122.49028)"
Angelinas School Day Care,Private,-2,-1,PK,Independent / Private,CDC005,3,4,CDC,,"4635 CABRILLO ST, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.77309, -122.5084)"
Convent Of The Sacred Heart High School,Private,9,12,9-12,Independent / Private,IND231,14,17,IND,38684786939540,"2222 BROADWAY ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.794918, -122.434059)"
Marshall Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS072,5,10,PS,38684786041412,"1575 15TH ST, San Francisco, CA 94103",9,06075,SAN FRANCISCO,"CA
(37.766289, -122.419022)"
Chinese American International School,Private,0,8,K-8,Independent / Private,IND227,5,13,IND,38684787021116,"150 OAK ST, SAN FRANCISCO, CA 94102",5,06075,SAN FRANCISCO,"CA
(37.775429, -122.422424)"
Sacred Heart Cathedral Preparatory,Private,9,12,9-12,Independent / Private,IND287,14,17,IND,38684786939748,"1055 ELLIS ST, SAN FRANCISCO, CA 94109",5,06075,SAN FRANCISCO,"CA
(37.783287, -122.423187)"
Kzv Armenian School - Krouzian Zekarian Armenian School,Private,-2,8,PK-8,Independent / Private,IND259,3,13,IND,38684786913123,"825 BROTHERHOOD WAY, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.713841, -122.478317)"
San Francisco Friends School,Private,0,8,K-8,Independent / Private,IND316,5,13,IND,38684786204762,"250 VALENCIA ST, SAN FRANCISCO, CA 94103",8,06075,SAN FRANCISCO,"CA
(37.768978, -122.422905)"
Saint John Catholic School,Private,0,8,K-8,Independent / Private,IND298,5,13,IND,38684786139893,"925 CHENERY ST, SAN FRANCISCO, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.734886, -122.43753)"
San Francisco School,Private,0,8,K-8,Independent / Private,IND319,5,13,IND,38684786980726,"300 GAVEN ST, SAN FRANCISCO, CA 94134",9,06075,SAN FRANCISCO,"CA
(37.732781, -122.411697)"
Cornerstone Academy,Private,-2,-1,PK,Independent / Private,CDC019,3,4,CDC,38684787086192,"1925 LAWTON ST, SAN FRANCISCO, CA 94134",4,06075,SAN FRANCISCO,"CA
(37.75742, -122.483665)"
Room To Grow Preschool,Private,-2,-1,PK,Independent / Private,CDC128,3,4,CDC,384001473,"3786 MISSION ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.73621, -122.424728)"
Grace Cathederal Community Preschool,Private,-2,-1,PK,Independent / Private,CDC048,3,4,CDC,,"1100 CALIFORNIA ST, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.792183, -122.413597)"
Youth Chance High School,Private,9,12,9-12,Independent / Private,IND339,14,17,IND,38684786204242,"169 STEUART ST, SAN FRANCISCO, CA 94105",6,06075,SAN FRANCISCO,"CA
(37.792519, -122.392021)"
Nihonmachi Little Friends - After School Program,Private,-2,-1,PK,Independent / Private,CDC112,3,4,CDC,380504889,"1700 SUTTER ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.786919, -122.428688)"
Presidio Preschool,Private,-2,-1,PK,Independent / Private,CDC125,3,4,CDC,384002067,"143 CLEMENT ST, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.782864, -122.460831)"
Crayon Box Preschool,Private,-2,-1,PK,Independent / Private,CDC021,3,4,CDC,384001502,"65 OCEAN AVE, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.72329, -122.438774)"
Compass Clara House,Private,-2,-1,PK,Independent / Private,CDC016,3,4,CDC,384000989,"111 PAGE ST, SAN FRANCISCO, CA 94102",5,06075,SAN FRANCISCO,"CA
(37.773743, -122.423042)"
"Wallenberg, Raoul Wallenberg High School",SFUSD,9,12,9-12,USD Grades 9-12,PS120,14,17,PS,38684783830205,"40 VEGA ST, San Francisco, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.780647, -122.445953)"
Little Footprints Preschool,Private,-2,-1,PK,Independent / Private,CDC077,3,4,CDC,384002156,"2201 VICENTE ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.738415, -122.4907)"
Hillwood Academic Day School,Private,1,8,1-8,Independent / Private,IND250,6,13,IND,38684786939607,"2521 SCOTT ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.793324, -122.440117)"
ABC Preschool,Private,-2,-1,PK,Independent / Private,CDC001,3,4,CDC,380506527,"426 33RD AVE, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.781139, -122.493042)"
Saint Thomas The Apostle Elementary School,Private,0,8,K-8,Independent / Private,IND308,5,13,IND,38684786980668,"3801 BALBOA ST, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.775097, -122.499771)"
Fairmount Elementary School / Preschool,SFUSD,-2,5,PK-5,USD PreK-5,PS030,3,10,PS,38684786040984,"65 CHENERY ST, San Francisco, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.740433, -122.425011)"
"Wu Yee Child Development Center - Omi (Ocean View,Merced Heights,Ingleside)",Private,-2,-1,PK,Independent / Private,CDC164,3,4,CDC,384002513,"1111 JUNIPERO SERRA BLVD, SAN FRANCISCO, CA 94132",11,06075,SAN FRANCISCO,"CA
(37.717464, -122.47197)"
"Yu, Alice Fong Yu Alternative School",SFUSD,0,8,K-8,USD Grades K-8,PS127,5,13,PS,38684786113245,"1541 12TH AVE, San Francisco, CA 94122",7,06075,SAN FRANCISCO,"CA
(37.758965, -122.469681)"
Presidio Knolls School,Private,0,8,K-8,Independent / Private,IND284,5,13,IND,38684786144034,"250 10TH ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.77319, -122.413704)"
South Of Market Child Care - Judith Baker Child Development Center,Private,-2,-1,PK,Independent / Private,CDC136,3,4,CDC,384001365,"685 NATOMA ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.776806, -122.411476)"
Wah Mei School,Private,-2,-1,PK,Independent / Private,CDC154,3,4,CDC,380504314,"1400 JUDAH ST, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.76186, -122.477371)"
Stretch The Imagination Child Care Center,Private,-2,-1,PK,Independent / Private,CDC140,3,4,CDC,384002029,"2509 BUSH ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.786095, -122.438888)"
C5 Childrens School - Sf City Building Center,Private,-2,-1,PK,Independent / Private,CDC008,3,4,CDC,384000654,"525 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.781109, -122.418922)"
Saint Cecilia School,Private,0,8,K-8,Independent / Private,IND292,5,13,IND,38684786981690,"600 VICENTE ST, SAN FRANCISCO, CA 94116",7,06075,SAN FRANCISCO,"CA
(37.739872, -122.473602)"
Mission Dolores Academy,Private,0,8,K-8,Independent / Private,IND274,5,13,IND,38684786981716,"3399 16TH ST, SAN FRANCISCO, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.764122, -122.428284)"
Marin Day School - Hills Plaza,Private,-4,-2,INF,Independent / Private,CDC089,1,3,CDC,384001299,"2 HARRISON ST, STE 150, SAN FRANCISCO, CA 94105",6,06075,SAN FRANCISCO,"CA
(37.789803, -122.389755)"
Alt School - Alamo Square,Private,0,5,K-5,Independent / Private,IND201,5,10,IND,38684786148274,"735 FELL ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.774788, -122.430206)"
Jewish Community High School Of The Bay,Private,9,12,9-12,Independent / Private,IND253,14,17,IND,38684786200554,"1835 ELLIS ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.781651, -122.436676)"
South Of Market Child Care - Yerba Buena Gardens Child Development Center,Private,-2,-1,PK,Independent / Private,CDC137,3,4,CDC,384000406,"790 FOLSOM ST, SAN FRANCISCO, CA 94107",6,06075,SAN FRANCISCO,"CA
(37.783512, -122.40081)"
Cow Hollow Kindergarten,Private,-2,-1,PK,Independent / Private,CDC020,3,4,CDC,38684786918601,"65 FUNSTON AVE, SAN FRANCISCO, CA 94129",2,06075,SAN FRANCISCO,"CA
(37.799049, -122.455528)"
"Roosevelt, Theodore Roosevelt Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS098,11,13,PS,38684786059901,"460 ARGUELLO BLVD, San Francisco, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.78228, -122.458351)"
Pacific Primary - Orange Sun School,Private,-2,-1,PK,Independent / Private,CDC118,3,4,CDC,384001816,"1501 GROVE ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.775284, -122.441605)"
Gates And Bridges Preschool,Private,-2,-1,PK,Independent / Private,CDC042,3,4,CDC,380504276,"1601 10TH AVE, SAN FRANCISCO, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.758255, -122.467148)"
Downtown High School,SFUSD,9,12,9-12,USD Grades 9-12,PS025,14,17,PS,38684783830064,"693 VERMONT ST, San Francisco, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.761398, -122.403702)"
French American International School,Private,0,12,K-12,Independent / Private,IND243,5,17,IND,38684786981195,"150 OAK ST, SAN FRANCISCO, CA 94102",5,06075,SAN FRANCISCO,"CA
(37.775456, -122.421577)"
"Drew, Dr. Charles R. Drew Elementary / Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS026,3,10,PS,38684786104673,"50 POMONA ST, San Francisco, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.731796, -122.39389)"
San Francisco International High School,SFUSD,9,12,9-12,USD Grades 9-12,PS101,14,17,PS,38684786149876,"1050 YORK ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.75523, -122.408859)"
Jefferson Out Of School (OST) Program,SFUSD,0,5,K-5,USD Grades K-5,PS052,5,10,PS,38684786041230,"1325 18TH AVE, SAN FRANCISCO CA 94122",4,06075,SAN FRANCISCO,"CA
(37.763062, -122.476318)"
Saint James Preschool (Episcopal Church),Private,-2,-1,PK,Independent / Private,CDC130,3,4,CDC,380500619,"4620 CALIFORNIA ST, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.784939, -122.467201)"
Maria Montessori School Of The Golden Gate,Private,-2,-1,PK,Independent / Private,CDC086,3,4,CDC,380506275,"62 LENOX WAY, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.7426, -122.46521)"
Ucsf - Marilyn Reed Lucia Child Care Study Center,Private,-2,-1,PK,Independent / Private,CDC149,3,4,CDC,384002158,"610 PARNASSUS AVE, SAN FRANCISCO, CA 94143",5,06075,SAN FRANCISCO,"CA
(37.7631, -122.460121)"
"King, Thomas Starr King Elementary / Preschool",SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS056,3,10,PS,38684786041602,"1215 CAROLINA ST, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.753288, -122.399193)"
Jewish Community Center San Francisco - Brotherhood Way Preschool,Private,-2,-1,PK,Independent / Private,CDC056,3,4,CDC,380500086,"655 BROTHERHOOD WAY, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.713123, -122.475296)"
Kids Kollege Preschool,Private,-2,-1,PK,Independent / Private,CDC067,3,4,CDC,380505246,"3939 LAWTON ST, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.756462, -122.505241)"
"Lick, James Lick Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS063,11,13,PS,38684786062053,"1220 NOE ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.749363, -122.432785)"
Mission Neighborhood Centers - Bernal Dwellings Child Development,Private,-2,-1,PK,Independent / Private,CDC099,3,4,CDC,384001017,"3185 26TH ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.748848, -122.41262)"
El Dorado Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS028,5,10,PS,38684786040950,"70 DELTA ST, San Francisco, CA 94134",10,06075,SAN FRANCISCO,"CA
(37.718658, -122.407852)"
Alt School - Yerba Buena,Private,-1,8,TK-8,Independent / Private,IND208,4,13,IND,,"300 04TH ST, SAN FRANCISCO, CA 94107",6,06075,SAN FRANCISCO,"CA
(37.781742, -122.401199)"
True Sunshine Preschool Center,Private,-2,-1,PK,Independent / Private,CDC148,3,4,CDC,380504311,"777 STOCKTON ST STE 201, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.792976, -122.407844)"
Pomeroy Recreation And Rehabilitation Center,Private,-2,12,PK-12,Independent / Private,IND282,3,17,IND,,"207 SKYLINE BLVD, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.729641, -122.501846)"
Brightworks,Private,0,8,K-8,Independent / Private,IND222,5,13,IND,38684786142079,"1900 BRYANT ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.762238, -122.410377)"
Proof School,Private,6,12,6-12,Independent / Private,IND285,11,17,IND,38684786150254,"555 POST ST, SAN FRANCISCO, CA 94102",3,06075,SAN FRANCISCO,"CA
(37.787655, -122.410942)"
Stuart Hall High School,Private,9,12,9-12,Independent / Private,IND330,14,17,IND,38684787104631,"1715 OCTAVIA ST, SAN FRANCISCO, CA 94109",5,06075,SAN FRANCISCO,"CA
(37.788628, -122.427238)"
Edison Charter K-8,SFUSD,0,8,K-8,USD Charter School,PS027,5,13,PS,38684786040935,"3531 22ND ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.754467, -122.426041)"
Mother Goose School,Private,-2,0,PK-K,Independent / Private,IND277,3,5,IND,380504982,"334 28TH AVE, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.783024, -122.487839)"
Saint Vincent De Paul School,Private,-2,8,K-8,Independent / Private,IND309,3,13,IND,38684786980676,"2350 GREEN ST, SAN FRANCISCO, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.796112, -122.437851)"
Our Lady Of The Visitacion School,Private,0,8,K-8,Independent / Private,IND280,5,13,IND,38684786981559,"785 SUNNYDALE AVE, SAN FRANCISCO, CA 94134",10,06075,SAN FRANCISCO,"CA
(37.709122, -122.409546)"
Gateway Middle School,SFUSD,-2,5,PK-5,USD Charter School; PreK-5,PS038,3,10,PS,38684780123265,"1512 GOLDEN GATE AVE, SAN FRANCISCO CA 94115",5,06075,SAN FRANCISCO,"CA
(37.779419, -122.435921)"
Cleveland Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS021,5,10,PS,38684786040836,"455 ATHENS ST, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.720341, -122.429192)"
Holy Name Elementary School,Private,0,8,K-8,Independent / Private,IND251,5,13,IND,38684786981278,"1560 40TH AVE, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.75761, -122.498878)"
Drew School,Private,9,12,9-12,Independent / Private,IND237,14,17,IND,38684786939557,"2901 CALIFORNIA ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.787643, -122.442322)"
"Asawa, Ruth Asawa San Francisco School Of The Arts

 / Academy Of Arts And Sciences",SFUSD,9,12,9-12,USD Grades 9-12,PS006,14,17,PS,38684783830387,"555 PORTOLA DR, SAN FRANCISCO CA, 94131",8,06075,SAN FRANCISCO,"CA
(37.745316, -122.44883)"
Kai Ming Head Start - Saint Luke Center,Private,-2,-1,PK,Independent / Private,CDC063,3,4,CDC,384002582,"1755 CLAY ST, SAN FRANCISCO, CA 94109",3,06075,SAN FRANCISCO,"CA
(37.792061, -122.42215)"
Peekadoodle Of San Francisco,Private,-2,-1,PK,Independent / Private,CDC120,3,4,CDC,384002261,"900 NORTH POINT ST STE F100, SAN FRANCISCO, CA 94109",2,06075,SAN FRANCISCO,"CA
(37.805534, -122.423187)"
Glen Park Montessori Preschool,Private,-2,-1,PK,Independent / Private,CDC043,3,4,CDC,384000740,"649 CHENERY ST, SAN FRANCISCO, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.734295, -122.432915)"
Stratford School - San Francisco,Private,-2,8,PK-8,Independent / Private,IND328,3,13,IND,38684786135651,"301 DE MONTFORT AVE, SAN FRANCISCO, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.723126, -122.461632)"
Wu Yee Child Development Center - Bayview,Private,-2,-1,PK,Independent / Private,CDC156,3,4,CDC,384002433,"1601 LANE ST, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.731804, -122.38958)"
Wu Yee Child Development Center - South East,Private,-2,-1,PK,Independent / Private,CDC166,3,4,CDC,384002516,"1300 PHELPS ST, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.737419, -122.393837)"
Economic Opportunity Council Sf - Chinatown Childcare,Private,-2,-1,PK,Independent / Private,CDC026,3,4,CDC,380504308,"715 CHESTNUT ST, SAN FRANCISCO, CA 94134",3,06075,SAN FRANCISCO,"CA
(37.803215, -122.41523)"
Lone Mountain Childrens Center,Private,-2,-1,PK,Independent / Private,CDC083,3,4,CDC,384000944,"1806 BELLES ST, SAN FRANCISCO, CA 94129",2,06075,SAN FRANCISCO,"CA
(37.788681, -122.473633)"
