business_address,business_city,business_id,business_latitude,business_location,business_longitude,business_name,business_phone_number,business_postal_code,business_state,full_adress,inspection_date,inspection_id,inspection_type,risk_category,violation_description,violation_id,inspection_score
1 franklin Ct,San Francisco,97700.0,0.0,,0.0,THE ITALIAN HOMEMADE COMPANY,,,CA,,11/27/2018 12:00:00 AM,97700_20181127,Routine - Unscheduled,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,97700_20181127_103149,92.0
2191 Union St,San Francisco,77799.0,37.797040877551,,-122.435210938776,"Union Street Coffee Roastery, Inc.",,94123,CA,2191 Union St San Francisco 94123 CA,12/01/2017 12:00:00 AM,77799_20171201,Routine - Unscheduled,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,77799_20171201_103149,98.0
"24 Willie Mays Pl View Level, Sect 311",San Francisco,94946.0,0.0,,0.0,94946 Derby Grill Stand,,94107,CA,"24 Willie Mays Pl View Level, Sect 311 San Francisco 94107 CA",07/19/2019 12:00:00 AM,94946_20190719,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,94946_20190719_103124,96.0
3218 MISSION St,San Francisco,2689.0,37.74516,POINT (-122.420217 37.745158),-122.42037109999998,THE BLUE PLATE,14155286777.0,94110,CA,3218 MISSION St San Francisco 94110 CA,04/23/2019 12:00:00 AM,2689_20190423,Routine - Unscheduled,Low Risk,Improper storage of equipment utensils or linens,2689_20190423_103145,94.0
4404 03rd St,San Francisco,87942.0,0.0,,0.0,Pizza Zone and Grill,,94124,CA,4404 03rd St San Francisco 94124 CA,04/30/2019 12:00:00 AM,87942_20190430,Routine - Unscheduled,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,87942_20190430_103149,92.0
24 Willie Mays Pl Rm 5318,San Francisco,94641.0,0.0,,0.0,94641 Doggie Diner,,94107,CA,24 Willie Mays Pl Rm 5318 San Francisco 94107 CA,07/19/2019 12:00:00 AM,94641_20190719,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,94641_20190719_103124,96.0
60 West Portal Ave.,San Francisco,37482.0,37.7402685,POINT (-122.466569 37.740144),-122.46667169999999,Bursa,14155564006.0,94127,CA,60 West Portal Ave. San Francisco 94127 CA,01/09/2019 12:00:00 AM,37482_20190109,Routine - Unscheduled,High Risk,Unclean hands or improper use of gloves,37482_20190109_103102,85.0
3251 20th Ave 250,San Francisco,88899.0,0.0,,0.0,Great Steak and Potato,14154527265.0,94132,CA,3251 20th Ave 250 San Francisco 94132 CA,03/19/2019 12:00:00 AM,88899_20190319,Routine - Unscheduled,Low Risk,Food safety certificate or food handler card not available,88899_20190319_103157,98.0
2084 CHESTNUT St,San Francisco,32862.0,37.800671,POINT (-122.43771 37.800685),-122.43805900000001,Naked Fish Sushi & Lounge Inc,,94123,CA,2084 CHESTNUT St San Francisco 94123 CA,12/21/2017 12:00:00 AM,32862_20171221,Routine - Unscheduled,Moderate Risk,Foods not protected from contamination,32862_20171221_103133,92.0
407 Ellis St,San Francisco,88129.0,37.7847512062945,,-122.41299917549601,SF NEWA,14155443876.0,94102,CA,407 Ellis St San Francisco 94102 CA,02/06/2019 12:00:00 AM,88129_20190206,Routine - Unscheduled,Low Risk,Unclean nonfood contact surfaces,88129_20190206_103142,88.0
129 Ellis St,San Francisco,79296.0,37.7853733958333,,-122.4081273125,Puccini & Pinetti,,94102,CA,129 Ellis St San Francisco 94102 CA,06/06/2019 12:00:00 AM,79296_20190606,Routine - Unscheduled,Low Risk,Improper storage of equipment utensils or linens,79296_20190606_103145,96.0
3856 24th St,San Francisco,67690.0,37.751426200000004,POINT (-122.428783 37.751648),-122.4320487,Saru,,94114,CA,3856 24th St San Francisco 94114 CA,08/29/2019 12:00:00 AM,67690_20190829,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,67690_20190829_103124,96.0
570 LARKIN St,San Francisco,68774.0,37.7810099,POINT (-122.417396 37.783036),-122.41708490000002,Fox Market,,94102,CA,570 LARKIN St San Francisco 94102 CA,01/03/2018 12:00:00 AM,68774_20180103,Routine - Unscheduled,Low Risk,Unclean nonfood contact surfaces,68774_20180103_103142,96.0
1 United Nations Plaza,San Francisco,99708.0,37.779892,,-122.413625,Roti,,94102,CA,1 United Nations Plaza San Francisco 94102 CA,04/17/2019 12:00:00 AM,99708_20190417,Routine - Unscheduled,High Risk,High risk food holding temperature,99708_20190417_103103,93.0
845 Jackson St,San Francisco,5968.0,37.79554415,POINT (-122.409173 37.795663),-122.40887605746,Chinese Hospital,,94133,CA,845 Jackson St San Francisco 94133 CA,05/13/2019 12:00:00 AM,5968_20190513,Routine - Unscheduled,,,,100.0
2517 SAN BRUNO AVE,San Francisco,99015.0,37.7300568,,-122.4044345,LING LING CUISINE RESTAURANT,14155466948.0,94134,CA,2517 SAN BRUNO AVE San Francisco 94134 CA,02/21/2019 12:00:00 AM,99015_20190221,Routine - Unscheduled,Low Risk,Unsanitary employee garments hair or nails,99015_20190221_103136,81.0
201 03rd St Suite 100,San Francisco,85601.0,0.0,,0.0,Fogo de Chao,14157254523.0,94103,CA,201 03rd St Suite 100 San Francisco 94103 CA,10/03/2019 12:00:00 AM,85601_20191003,Routine - Unscheduled,High Risk,High risk food holding temperature,85601_20191003_103103,93.0
360 C West Portal Ave,San Francisco,17723.0,37.7370961781442,POINT (-122.457584 37.738857),-122.469852520399,Sushi Suki Restaurant,,94127,CA,360 C West Portal Ave San Francisco 94127 CA,12/12/2018 12:00:00 AM,17723_20181212,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,17723_20181212_103119,69.0
1298 MARKET St,San Francisco,2561.0,37.7778539,POINT (-122.415969 37.777824),-122.41627890000001,ANANDA FUARA,,94102,CA,1298 MARKET St San Francisco 94102 CA,01/25/2018 12:00:00 AM,2561_20180125,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,2561_20180125_103144,94.0
069 WEST PORTAL Ave,San Francisco,741.0,37.7400371326853,POINT (-122.466544 37.740052),-122.46644071335899,MOZZARELLA DI BUFALA PIZZERIA II,14155668900.0,94127,CA,069 WEST PORTAL Ave San Francisco 94127 CA,01/28/2019 12:00:00 AM,741_20190128,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,741_20190128_103124,87.0
1898 GREEN St,San Francisco,4708.0,37.7969094,POINT (-122.430234 37.796828),-122.4302557,GREEN STREET MARKET,,94123,CA,1898 GREEN St San Francisco 94123 CA,03/08/2019 12:00:00 AM,4708_20190308,Routine - Unscheduled,Low Risk,Food safety certificate or food handler card not available,4708_20190308_103157,94.0
75 Hagiwara Tea Garden Dr. Golden Gate Park,San Francisco,62526.0,0.0,POINT (-122.462787 37.778382),0.0,"Japanese Tea Garden ""Tea House""",,94118,CA,75 Hagiwara Tea Garden Dr. Golden Gate Park San Francisco 94118 CA,04/17/2018 12:00:00 AM,62526_20180417,Routine - Unscheduled,,,,100.0
470 Pacific Ave,San Francisco,61001.0,37.797431599999996,POINT (-122.403344 37.797378),-122.40326864,Quince Restaurant,,94133,CA,470 Pacific Ave San Francisco 94133 CA,04/08/2019 12:00:00 AM,61001_20190408,Routine - Unscheduled,,,,100.0
2675 Geary Blvd,San Francisco,76205.0,37.7821167,,-122.4472154,Target Store T-2768-Starburks Coffee,14155795280.0,94118,CA,2675 Geary Blvd San Francisco 94118 CA,03/08/2019 12:00:00 AM,76205_20190308,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,76205_20190308_103154,98.0
Pier 41,San Francisco,7722.0,37.809474200000004,POINT (-122.412 37.808494),-122.4118509,Bay Monarch,,94133,CA,Pier 41 San Francisco 94133 CA,09/06/2019 12:00:00 AM,7722_20190906,Routine - Unscheduled,,,,100.0
5170 Mission St,San Francisco,93607.0,37.7160156382979,,-122.441476446809,Boos Voni,,94112,CA,5170 Mission St San Francisco 94112 CA,01/28/2019 12:00:00 AM,93607_20190128,Routine - Unscheduled,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,93607_20190128_103116,88.0
3906 Judah st,San Francisco,13838.0,37.760646,POINT (-122.503991 37.760528),-122.50395929999999,Judahlicious Juice,,94122,CA,3906 Judah st San Francisco 94122 CA,09/11/2019 12:00:00 AM,13838_20190911,Routine - Unscheduled,Moderate Risk,Employee eating or smoking,13838_20190911_103118,90.0
595 Bryant St.,San Francisco,90460.0,37.7830141,,-122.39372220000001,Mestiza Taqueria,,94107,CA,595 Bryant St. San Francisco 94107 CA,09/17/2019 12:00:00 AM,90460_20190917,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,90460_20190917_103120,88.0
Ferry Plaza Pier,San Francisco,68713.0,0.0,,0.0,S & P Concessions - MV Napa,,94111,CA,Ferry Plaza Pier San Francisco 94111 CA,08/08/2019 12:00:00 AM,68713_20190808,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,68713_20190808_103119,94.0
424 CORTLAND AVE,San Francisco,100480.0,37.7390299,,-122.4171535,WILD SIDE WEST,,94110,CA,424 CORTLAND AVE San Francisco 94110 CA,08/14/2019 12:00:00 AM,100480_20190814,Routine - Unscheduled,High Risk,Contaminated or adulterated food,100480_20190814_103108,91.0
2948 Folsom St,San Francisco,89512.0,37.7501113061224,,-122.413953346939,Peaches Patties,,94110,CA,2948 Folsom St San Francisco 94110 CA,09/25/2019 12:00:00 AM,89512_20190925,Routine - Unscheduled,,,,100.0
1199 South Van Ness Ave,San Francisco,74133.0,37.754096999999994,,-122.416321,The Little Spot Cafe,,94110,CA,1199 South Van Ness Ave San Francisco 94110 CA,09/27/2019 12:00:00 AM,74133_20190927,Routine - Unscheduled,Low Risk,Unclean nonfood contact surfaces,74133_20190927_103142,88.0
820 Ulloa St,San Francisco,78727.0,37.7408061,,-122.46540149999998,Submarine Center,14155561455.0,94127,CA,820 Ulloa St San Francisco 94127 CA,09/24/2018 12:00:00 AM,78727_20180924,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,78727_20180924_103120,96.0
24 Willie Mays Pl Promenade Level 2,San Francisco,94696.0,0.0,,0.0,94696 Portable 9 Popcorn,14150775128.0,94107,CA,24 Willie Mays Pl Promenade Level 2 San Francisco 94107 CA,07/19/2019 12:00:00 AM,94696_20190719,Routine - Unscheduled,,,,100.0
800 Howard St,San Francisco,83968.0,37.760238,,-122.41711799999999,Moscone West Lobby 1,,94103,CA,800 Howard St San Francisco 94103 CA,08/09/2018 12:00:00 AM,83968_20180809,Routine - Unscheduled,,,,100.0
660 Lombard St,San Francisco,6015.0,37.802993690685,POINT (-122.412494 37.802918),-122.412377563384,Telegraph Hill Senior Meals Program,14155426443.0,94133,CA,660 Lombard St San Francisco 94133 CA,04/05/2019 12:00:00 AM,6015_20190405,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,6015_20190405_103124,96.0
297 Page St,San Francisco,85849.0,37.773592,,-122.42556840000002,Revelry Bistro,,94102,CA,297 Page St San Francisco 94102 CA,12/04/2018 12:00:00 AM,85849_20181204,Routine - Unscheduled,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,85849_20181204_103149,82.0
2948 FOLSOM STREET,San Francisco,12970.0,37.7501113061224,POINT (-122.413935 37.750134),-122.413953346939,LA COCINA,,94110,CA,2948 FOLSOM STREET San Francisco 94110 CA,09/25/2019 12:00:00 AM,12970_20190925,Routine - Unscheduled,Moderate Risk,Moderate risk vermin infestation,12970_20190925_103131,96.0
3848 Geary Blvd.,San Francisco,90894.0,37.7813625,,-122.46077620000001,Bella 3848,,94118,CA,3848 Geary Blvd. San Francisco 94118 CA,11/15/2018 12:00:00 AM,90894_20181115,Routine - Unscheduled,Moderate Risk,Insufficient hot water or running water,90894_20181115_103129,90.0
399 5TH ST,San Francisco,99136.0,37.781070899999996,,-122.4044118,ALLSTARS DONUTS,14155880889.0,94107,CA,399 5TH ST San Francisco 94107 CA,09/30/2019 12:00:00 AM,99136_20190930,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,99136_20190930_103154,73.0
600 32nd Ave,San Francisco,5828.0,37.7781434,POINT (-122.492005 37.777772),-122.491789301337,GEORGE WASHINGTON HIGH SCHOOL,,94121,CA,600 32nd Ave San Francisco 94121 CA,05/22/2019 12:00:00 AM,5828_20190522,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,5828_20190522_103120,96.0
525 07th St,San Francisco,76245.0,0.0,,0.0,Small Potatoes Catering & Events,14155216744.0,94103,CA,525 07th St San Francisco 94103 CA,09/19/2019 12:00:00 AM,76245_20190919,Routine - Unscheduled,High Risk,High risk food holding temperature,76245_20190919_103103,87.0
3117 16th St,San Francisco,69081.0,37.7648090637164,POINT (-122.422363 37.764828),-122.422309625966,The Roxie Theater,,94103,CA,3117 16th St San Francisco 94103 CA,09/17/2019 12:00:00 AM,69081_20190917,Routine - Unscheduled,Moderate Risk,Moderate risk vermin infestation,69081_20190917_103131,96.0
255 MENDELL STREET,San Francisco,5267.0,37.741853900523,POINT (-122.383872 37.741939),-122.383841783479,Knights Catering,,94124,CA,255 MENDELL STREET San Francisco 94124 CA,07/17/2019 12:00:00 AM,5267_20190717,Routine - Unscheduled,Low Risk,Improper storage of equipment utensils or linens,5267_20190717_103145,96.0
4201 18th St,San Francisco,66191.0,37.760732,POINT (-122.436389 37.760773),-122.43626100000002,AFC Sushi @ Mollie Stone's #9,,94114,CA,4201 18th St San Francisco 94114 CA,12/03/2018 12:00:00 AM,66191_20181203,Routine - Unscheduled,,,,100.0
2120 GREENWICH ST,San Francisco,100240.0,37.799188306122396,,-122.43466644898001,U :DESSERT STORY,14155333435.0,94123,CA,2120 GREENWICH ST San Francisco 94123 CA,06/25/2019 12:00:00 AM,100240_20190625,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,100240_20190625_103119,94.0
99 Harding Park Road,San Francisco,66534.0,0.0,POINT (-122.495289 37.723698),0.0,Midway Grill (Snack Shop),,94103,CA,99 Harding Park Road San Francisco 94103 CA,01/28/2019 12:00:00 AM,66534_20190128,Routine - Unscheduled,,,,100.0
699 Folsom St,San Francisco,61923.0,37.784625,POINT (-122.398875 37.783772),-122.39789909999999,What's Up Dog! Folsom Street,,94107,CA,699 Folsom St San Francisco 94107 CA,07/18/2019 12:00:00 AM,61923_20190718,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,61923_20190718_103154,94.0
7000 GEARY BLVD,San Francisco,98176.0,37.7798423,,-122.4945771,PACIFIC CAFE,14155387091.0,94121,CA,7000 GEARY BLVD San Francisco 94121 CA,07/11/2019 12:00:00 AM,98176_20190711,Routine - Unscheduled,Moderate Risk,Foods not protected from contamination,98176_20190711_103133,96.0
4627 Geary Blvd,San Francisco,83148.0,37.7806179,,-122.469104,My Tofu House,14155751818.0,94118,CA,4627 Geary Blvd San Francisco 94118 CA,09/12/2019 12:00:00 AM,83148_20190912,Routine - Unscheduled,Low Risk,Food safety certificate or food handler card not available,83148_20190912_103157,94.0
842 Geary St,San Francisco,87123.0,0.0,,0.0,Mongol Cafe,,,CA,,04/25/2019 12:00:00 AM,87123_20190425,Routine - Unscheduled,Low Risk,Unclean unmaintained or improperly constructed toilet facilities,87123_20190425_103152,92.0
1905 Mission St,San Francisco,81484.0,37.766475799999995,,-122.4196601,La Noisette Café and Deli,14155347930.0,94103,CA,1905 Mission St San Francisco 94103 CA,04/22/2019 12:00:00 AM,81484_20190422,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,81484_20190422_103124,92.0
1379 04th St,San Francisco,97856.0,0.0,,0.0,The Watering Hole,,94158,CA,1379 04th St San Francisco 94158 CA,04/09/2019 12:00:00 AM,97856_20190409,Routine - Unscheduled,,,,100.0
Pier 41,San Francisco,7603.0,37.809474200000004,POINT (-122.412 37.808494),-122.4118509,Royal Star,,94133,CA,Pier 41 San Francisco 94133 CA,09/06/2019 12:00:00 AM,7603_20190906,Routine - Unscheduled,,,,100.0
1750 Cesar Chavez St #D,San Francisco,95018.0,0.0,,0.0,Ladies Who Lunch Catering & Events,,94124,CA,1750 Cesar Chavez St #D San Francisco 94124 CA,07/18/2018 12:00:00 AM,95018_20180718,Routine - Unscheduled,Moderate Risk,Noncompliance with HAACP plan or variance,95018_20180718_103127,96.0
1746 Post St,San Francisco,73998.0,37.785559408163294,,-122.430512040816,Crown & Crumpet,,94115,CA,1746 Post St San Francisco 94115 CA,08/27/2018 12:00:00 AM,73998_20180827,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,73998_20180827_103124,90.0
3500 FILLMORE St,San Francisco,5905.0,37.801747356030795,POINT (-122.43641 37.801776),-122.43665006514401,MARINA MIDDLE SCHOOL,14155743495.0,94123,CA,3500 FILLMORE St San Francisco 94123 CA,09/25/2019 12:00:00 AM,5905_20190925,Routine - Unscheduled,Low Risk,Inadequate ventilation or lighting,5905_20190925_103147,94.0
650 HOWARD St,San Francisco,3728.0,37.785916,POINT (-122.399569 37.785784),-122.39956299999999,"GOLD CLUB, THE",,94105,CA,650 HOWARD St San Francisco 94105 CA,09/16/2019 12:00:00 AM,3728_20190916,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,3728_20190916_103154,94.0
1 Market St,San Francisco,85047.0,0.0,,0.0,Guckenheimer@Google One Market,,94105,CA,1 Market St San Francisco 94105 CA,05/13/2019 12:00:00 AM,85047_20190513,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,85047_20190513_103119,96.0
845 Market St Ste. 400,San Francisco,70983.0,0.0,,0.0,M.Y. China,,94103,CA,845 Market St Ste. 400 San Francisco 94103 CA,05/29/2019 12:00:00 AM,70983_20190529,Routine - Unscheduled,Moderate Risk,Foods not protected from contamination,70983_20190529_103133,92.0
350 Mission St 27th Floor,San Francisco,92127.0,0.0,,0.0,Salesforce Mission,,94105,CA,350 Mission St 27th Floor San Francisco 94105 CA,07/22/2019 12:00:00 AM,92127_20190722,Routine - Unscheduled,Moderate Risk,Foods not protected from contamination,92127_20190722_103133,92.0
420 Montgomery St,San Francisco,74537.0,37.7933794,,-122.40270079999999,Guckenheimer - Penthouse,,94104,CA,420 Montgomery St San Francisco 94104 CA,01/12/2018 12:00:00 AM,74537_20180112,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,74537_20180112_103154,98.0
3251 20th Ave 102,San Francisco,89296.0,0.0,,0.0,Wetzel's Pretzels (cart),14158505465.0,94132,CA,3251 20th Ave 102 San Francisco 94132 CA,10/11/2017 12:00:00 AM,89296_20171011,Routine - Unscheduled,Low Risk,Inadequate HACCP plan record keeping,89296_20171011_103160,92.0
3006 MISSION St,San Francisco,1005.0,37.7488505,POINT (-122.418134 37.748855),-122.418295,CHAVITA'S MEXICAN RESTAURANT,14155286927.0,94110,CA,3006 MISSION St San Francisco 94110 CA,08/08/2019 12:00:00 AM,1005_20190808,Routine - Unscheduled,Moderate Risk,Improper thawing methods,1005_20190808_103132,88.0
260 MADRID St,San Francisco,5898.0,37.7253945306122,POINT (-122.430106 37.725199),-122.43006920408199,MONROE ELEMENTARY SCHOOL,14155464736.0,94112,CA,260 MADRID St San Francisco 94112 CA,09/16/2019 12:00:00 AM,5898_20190916,Routine - Unscheduled,,,,100.0
181 03rd St,San Francisco,79595.0,0.0,,0.0,Green Room - W San Francisco,,94103,CA,181 03rd St San Francisco 94103 CA,02/27/2019 12:00:00 AM,79595_20190227,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,79595_20190227_103144,98.0
18 California St,San Francisco,2240.0,37.793697878787896,POINT (-122.396592 37.793687),-122.396780848485,Le Regency,,94108,CA,18 California St San Francisco 94108 CA,09/04/2019 12:00:00 AM,2240_20190904,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,2240_20190904_103144,90.0
2740 Mission St,San Francisco,93968.0,37.753156163265295,,-122.41863457142901,Pollo Campero,14155620801.0,94110,CA,2740 Mission St San Francisco 94110 CA,06/11/2019 12:00:00 AM,93968_20190611,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,93968_20190611_103120,96.0
Pier 39  Front,San Francisco,792.0,0.0,POINT (-122.398588 37.791924),0.0,Boudin Bakery,,94133,CA,Pier 39  Front San Francisco 94133 CA,06/26/2019 12:00:00 AM,792_20190626,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,792_20190626_103144,96.0
302 POTRERO Ave,San Francisco,5156.0,37.7517333,POINT (-122.407565 37.765507),-122.4062828,McDONALD'S,14155863295.0,94110,CA,302 POTRERO Ave San Francisco 94110 CA,08/09/2019 12:00:00 AM,5156_20190809,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,5156_20190809_103119,94.0
24 Willie Mays Pl View Lvl  Sect 307,San Francisco,95239.0,0.0,,0.0,95239 Popcorn Cart,,94107,CA,24 Willie Mays Pl View Lvl  Sect 307 San Francisco 94107 CA,04/12/2019 12:00:00 AM,95239_20190412,Routine - Unscheduled,,,,100.0
Off the Grid,San Francisco,90433.0,0.0,,0.0,Gaga's Rollin Diner,14157653116.0,,CA,,04/29/2017 12:00:00 AM,90433_20170429,Routine - Unscheduled,Low Risk,Improper food storage,90433_20170429_103139,94.0
1906 Market St,San Francisco,94837.0,37.7733865,,-122.42142720000001,Kantine,,94102,CA,1906 Market St San Francisco 94102 CA,11/28/2018 12:00:00 AM,94837_20181128,Routine - Unscheduled,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,94837_20181128_103149,98.0
1401 Fillmore St,San Francisco,33564.0,37.7824229,POINT (-122.432592 37.78238),-122.4326763,Happy Shabu Shabu,,94115,CA,1401 Fillmore St San Francisco 94115 CA,03/05/2018 12:00:00 AM,33564_20180305,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,33564_20180305_103154,94.0
3071 16th St,San Francisco,3651.0,37.765963899999996,POINT (-122.421234 37.764897),-122.40463390000002,PANCHO VILLA,14155868840.0,94103,CA,3071 16th St San Francisco 94103 CA,03/21/2019 12:00:00 AM,3651_20190321,Routine - Unscheduled,Low Risk,Unclean nonfood contact surfaces,3651_20190321_103142,90.0
2885 Diamond St,San Francisco,96845.0,37.7337422,,-122.43394740000002,BELLO COFFEE LLC,,94131,CA,2885 Diamond St San Francisco 94131 CA,07/30/2019 12:00:00 AM,96845_20190730,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,96845_20190730_103119,96.0
255 Kearny st.,San Francisco,37717.0,37.7910185,POINT (-122.404024 37.790593),-122.4041098,SF Wraps,,94108,CA,255 Kearny st. San Francisco 94108 CA,01/02/2019 12:00:00 AM,37717_20190102,Routine - Unscheduled,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,37717_20190102_103149,94.0
825 SHOTWELL St,San Francisco,5871.0,37.75483745,POINT (-122.415376 37.754805),-122.415164222922,CHAVEZ ELEMENTARY SCHOOL,14155695765.0,94110,CA,825 SHOTWELL St San Francisco 94110 CA,09/06/2019 12:00:00 AM,5871_20190906,Routine - Unscheduled,,,,100.0
201 A Turk St,San Francisco,75850.0,37.782239700000005,,-122.41849029999999,Emo's Cafe & Deli,,94102,CA,201 A Turk St San Francisco 94102 CA,03/08/2018 12:00:00 AM,75850_20180308,Routine - Unscheduled,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,75850_20180308_103116,92.0
537 Octavia St,San Francisco,93022.0,37.7772682352941,,-122.424848794118,Wise Sons Delicatessen,,94102,CA,537 Octavia St San Francisco 94102 CA,10/02/2019 12:00:00 AM,93022_20191002,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,93022_20191002_103124,96.0
545 Powell St,San Francisco,3111.0,37.788293100000004,POINT (-122.408774 37.789895),-122.4084335,The Family,,94108,CA,545 Powell St San Francisco 94108 CA,05/22/2019 12:00:00 AM,3111_20190522,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,3111_20190522_103144,92.0
1200 19th Ave,San Francisco,62768.0,37.765454600000005,POINT (-122.477256 37.765421),-122.47726589999999,19th Ave Shell,,94122,CA,1200 19th Ave San Francisco 94122 CA,09/06/2019 12:00:00 AM,62768_20190906,Routine - Unscheduled,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,62768_20190906_103149,94.0
2222 IRVING St,San Francisco,1954.0,37.763479100000005,POINT (-122.481892 37.763388),-122.4818861,T C PASTRY,,94122,CA,2222 IRVING St San Francisco 94122 CA,07/12/2019 12:00:00 AM,1954_20190712,Routine - Unscheduled,Low Risk,Improper storage use or identification of toxic substances,1954_20190712_103138,94.0
917 Folsom St,San Francisco,94843.0,37.784625,,-122.39789909999999,Pine Tar Grill and Bar,,94901,CA,917 Folsom St San Francisco 94901 CA,05/16/2019 12:00:00 AM,94843_20190516,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,94843_20190516_103124,92.0
2200 Hayes St,San Francisco,65820.0,37.773168,POINT (-122.454417 37.773657),-122.452794,McAuley Adolescent Special Education,,94117,CA,2200 Hayes St San Francisco 94117 CA,09/13/2018 12:00:00 AM,65820_20180913,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,65820_20180913_103120,94.0
2399 Van Ness Ave,San Francisco,80315.0,0.0,,0.0,Notes From Underground Cafe,14155538388.0,,CA,,05/14/2018 12:00:00 AM,80315_20180514,Routine - Unscheduled,Low Risk,Improper storage use or identification of toxic substances,80315_20180514_103138,96.0
2687 MISSION St,San Francisco,7214.0,37.7541364,POINT (-122.418586 37.754094),-122.41846629999999,SUN FAT SEAFOOD,14155289339.0,94110,CA,2687 MISSION St San Francisco 94110 CA,08/06/2019 12:00:00 AM,7214_20190806,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,7214_20190806_103119,94.0
3228 16th St,San Francisco,67123.0,37.764819179487205,POINT (-122.424872 37.764758),-122.424881512821,Mozzeria,,94103,CA,3228 16th St San Francisco 94103 CA,01/15/2019 12:00:00 AM,67123_20190115,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,67123_20190115_103120,92.0
5100 Geary Blvd,San Francisco,76957.0,37.7812064,,-122.45902269999999,7 Eleven Store #2366-22627D,,94118,CA,5100 Geary Blvd San Francisco 94118 CA,04/22/2019 12:00:00 AM,76957_20190422,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,76957_20190422_103119,90.0
1775 FULTON St,San Francisco,59826.0,37.775762799999995,POINT (-122.446047 37.775813),-122.44574920000001,JANNAH,,94117,CA,1775 FULTON St San Francisco 94117 CA,02/07/2019 12:00:00 AM,59826_20190207,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,59826_20190207_103144,92.0
1550 Bryant St,San Francisco,85679.0,37.767524,,-122.41077299999999,Delicioso Creperie,,94103,CA,1550 Bryant St San Francisco 94103 CA,04/03/2019 12:00:00 AM,85679_20190403,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,85679_20190403_103124,94.0
3674 18th St,San Francisco,64717.0,37.7615584444444,POINT (-122.425402 37.761498),-122.425278,18 Reasons,,94110,CA,3674 18th St San Francisco 94110 CA,08/13/2019 12:00:00 AM,64717_20190813,Routine - Unscheduled,Low Risk,Low risk vermin infestation,64717_20190813_103161,98.0
3329 24th St,San Francisco,5006.0,37.7521073,POINT (-122.41916 37.752156),-122.4191828,LA MEJOR BAKERY,14155720251.0,94110,CA,3329 24th St San Francisco 94110 CA,11/26/2018 12:00:00 AM,5006_20181126,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,5006_20181126_103124,88.0
